1892.94 1918.57 1892.94 1918.57 1918.57 1892.94 1918.57 1895.46 1918.57 1895.46
1996.11 2000.41 1996.11 2000.41 2000.41 1996.11 2000.41 1993.57 2000.41 1993.57
2123.46 2132.56 2123.46 2132.56 2132.56 2123.46 2132.56 2124.46 2132.56 2124.46
2269.27 2270.03 2269.27 2270.03 2270.03 2269.27 2270.03 2299.38 2270.03 2299.38
2415.09 2420.32 2415.09 2420.32 2420.32 2415.09 2420.32 2448.17 2420.32 2448.17
2568.25 2589.80 2568.25 2589.80 2589.80 2568.25 2589.80 2616.37 2589.80 2616.37
2714.16 2733.17 2714.16 2733.17 2733.17 2714.16 2733.17 2748.59 2733.17 2748.59
2823.68 2840.19 2823.68 2840.19 2840.19 2823.68 2840.19 2860.48 2840.19 2860.48
2903.07 2921.22 2903.07 2921.22 2921.22 2903.07 2921.22 2943.09 2921.22 2943.09
2948.03 2960.70 2948.03 2960.70 2960.70 2948.03 2960.70 3002.73 2960.70 3002.73
2957.59 2967.58 2957.59 2967.58 2967.58 2957.59 2967.58 3030.38 2967.58 3030.38
2939.68 2930.79 2939.68 2930.79 2930.79 2939.68 2930.79 3003.74 2930.79 3003.74
2868.91 2849.92 2868.91 2849.92 2849.92 2868.91 2849.92 2933.24 2849.92 2933.24
2770.33 2772.17 2770.33 2772.17 2772.17 2770.33 2772.17 2836.28 2772.17 2836.28
2659.76 2639.60 2659.76 2639.60 2639.60 2659.76 2639.60 2705.76 2639.60 2705.76
2509.03 2491.11 2509.03 2491.11 2491.11 2509.03 2491.11 2558.31 2491.11 2558.31
2351.75 2339.18 2351.75 2339.18 2339.18 2351.75 2339.18 2421.99 2339.18 2421.99
2186.60 2188.15 2186.60 2188.15 2188.15 2186.60 2188.15 2282.19 2188.15 2282.19
2038.16 2041.75 2038.16 2041.75 2041.75 2038.16 2041.75 2149.97 2041.75 2149.97
1913.21 1920.91 1913.21 1920.91 1920.91 1913.21 1920.91 2042.20 1920.91 2042.20
1817.96 1833.01 1817.96 1833.01 1833.01 1817.96 1833.01 1961.47 1833.01 1961.47
1783.98 1792.82 1783.98 1792.82 1792.82 1783.98 1792.82 1916.40 1792.82 1916.40
1769.75 1788.25 1769.75 1788.25 1788.25 1769.75 1788.25 1906.95 1788.25 1906.95
1790.39 1826.91 1790.39 1826.91 1826.91 1790.39 1826.91 1947.87 1826.91 1947.87
1856.56 1896.34 1856.56 1896.34 1896.34 1856.56 1896.34 2032.67 1896.34 2032.67
1956.43 1995.43 1956.43 1995.43 1995.43 1956.43 1995.43 2130.98 1995.43 2130.98
2092.11 2114.23 2092.11 2114.23 2114.23 2092.11 2114.23 2264.49 2114.23 2264.49
2225.76 2261.37 2225.76 2261.37 2261.37 2225.76 2261.37 2414.38 2261.37 2414.38
2392.63 2394.04 2392.63 2394.04 2394.04 2392.63 2394.04 2571.33 2394.04 2571.33
2552.09 2546.80 2552.09 2546.80 2546.80 2552.09 2546.80 2722.19 2546.80 2722.19
2689.84 2708.42 2689.84 2708.42 2708.42 2689.84 2708.42 2860.57 2708.42 2860.57
2831.69 2810.85 2831.69 2810.85 2810.85 2831.69 2810.85 2963.96 2810.85 2963.96
2917.47 2901.35 2917.47 2901.35 2901.35 2917.47 2901.35 3049.11 2901.35 3049.11
2960.42 2940.77 2960.42 2940.77 2940.77 2960.42 2940.77 3097.33 2940.77 3097.33
2958.44 2938.39 2958.44 2938.39 2938.39 2958.44 2938.39 3104.39 2938.39 3104.39
2925.13 2898.17 2925.13 2898.17 2898.17 2925.13 2898.17 3072.87 2898.17 3072.87
2865.84 2810.83 2865.84 2810.83 2810.83 2865.84 2810.83 3007.51 2810.83 3007.51
2757.28 2685.40 2757.28 2685.40 2685.40 2757.28 2685.40 2895.89 2685.40 2895.89
2620.27 2536.09 2620.27 2536.09 2536.09 2620.27 2536.09 2761.79 2536.09 2761.79
2471.68 2394.47 2471.68 2394.47 2394.47 2471.68 2394.47 2609.58 2394.47 2609.58
2307.46 2240.41 2307.46 2240.41 2240.41 2307.46 2240.41 2453.31 2240.41 2453.31
2154.79 2083.34 2154.79 2083.34 2083.34 2154.79 2083.34 2297.49 2083.34 2297.49
2015.68 1937.70 2015.68 1937.70 1937.70 2015.68 1937.70 2148.08 1937.70 2148.08
1898.69 1827.63 1898.69 1827.63 1827.63 1898.69 1827.63 2033.96 1827.63 2033.96
1807.14 1751.37 1807.14 1751.37 1751.37 1807.14 1751.37 1957.87 1751.37 1957.87
1759.43 1710.86 1759.43 1710.86 1710.86 1759.43 1710.86 1920.57 1710.86 1920.57
1761.56 1709.81 1761.56 1709.81 1709.81 1761.56 1709.81 1927.44 1709.81 1927.44
1808.50 1742.51 1808.50 1742.51 1742.51 1808.50 1742.51 1963.55 1742.51 1963.55
1893.28 1825.16 1893.28 1825.16 1825.16 1893.28 1825.16 2042.08 1825.16 2042.08
2017.15 1923.64 2017.15 1923.64 1923.64 2017.15 1923.64 2142.91 1923.64 2142.91
2152.89 2050.09 2152.89 2050.09 2050.09 2152.89 2050.09 2286.27 2050.09 2286.27
2317.02 2215.06 2317.02 2215.06 2215.06 2317.02 2215.06 2443.25 2215.06 2443.25
2469.70 2378.63 2469.70 2378.63 2378.63 2469.70 2378.63 2598.12 2378.63 2598.12
2617.99 2516.18 2617.99 2516.18 2516.18 2617.99 2516.18 2743.56 2516.18 2743.56
